,date,Chinatown,Preston North End F.C.,Beacon Hill,Dorchester,Roslindale,Hyde Park Winter Wonderland,Brighton & Hove Albion F.C.,South Boston,Downtown Crossing,Vue Cinema London - West End (Leicester Square),Leather District,East Boston,Downtown,Mission Hill,Jamaica Plain,Fenway Park,Kenmore,Allston,Charlestown,Dorchester County,Back Bay,South End Buttery,West Roxbury,Put-in-Bay,A Night at the Roxbury
0,2018-01-07,54,2,71,75,71,15,12,73,64,49,0,53,31,34,62,12,82,56,58,89,54,12,64,9,29
1,2018-01-14,58,6,65,67,71,11,14,77,65,0,0,55,38,38,72,22,80,66,61,61,74,24,57,8,34
2,2018-01-21,47,4,55,70,63,8,9,66,69,0,58,55,12,37,67,24,76,71,62,65,65,35,56,9,31
3,2018-01-28,62,3,47,56,76,5,9,73,62,48,0,54,49,31,68,25,75,62,57,67,57,27,56,10,36
4,2018-02-04,55,4,71,50,73,5,9,76,54,0,58,62,55,27,71,20,75,62,59,72,57,15,61,10,29
5,2018-02-11,86,3,77,65,78,4,8,77,57,0,20,55,100,31,66,26,78,66,61,59,69,24,65,10,29
6,2018-02-18,83,2,71,66,62,3,6,85,75,0,58,62,74,37,65,25,80,62,59,76,59,31,62,9,32
7,2018-02-25,69,5,74,67,71,3,8,84,51,0,0,61,99,31,70,21,76,67,62,64,54,31,62,12,33
8,2018-03-04,74,6,76,72,80,3,27,81,55,48,19,62,67,24,67,25,75,56,65,64,58,27,57,13,32
9,2018-03-11,67,5,61,69,86,2,20,96,75,0,20,57,50,25,69,21,74,61,69,60,62,31,59,12,26
10,2018-03-18,66,6,66,79,84,2,11,94,65,0,20,57,43,12,71,23,73,72,62,53,58,23,58,13,34
11,2018-03-25,88,4,86,69,85,1,9,75,63,0,0,64,57,29,69,30,74,63,69,67,73,24,65,17,28
12,2018-04-01,63,4,90,77,77,2,6,80,54,100,60,61,26,22,78,46,76,67,69,65,68,16,74,29,27
13,2018-04-08,67,4,77,62,83,1,11,65,56,49,0,54,31,28,77,63,75,64,69,70,64,31,68,18,30
14,2018-04-15,57,3,72,63,80,2,16,72,67,49,20,56,50,22,81,36,73,66,65,62,67,32,58,25,29
15,2018-04-22,63,4,65,65,78,1,7,70,80,0,20,57,38,28,70,41,72,63,61,66,70,24,54,23,26
16,2018-04-29,63,3,77,58,87,1,21,70,100,97,59,65,37,22,77,45,74,60,62,68,58,31,65,26,34
17,2018-05-06,60,6,79,60,82,2,14,70,50,0,60,64,25,38,100,30,76,65,70,61,65,24,74,30,30
18,2018-05-13,78,1,69,68,80,2,22,70,67,0,61,64,51,29,82,54,78,66,52,76,72,28,67,30,32
19,2018-05-20,76,3,85,59,66,2,6,72,64,0,82,52,72,36,77,43,85,66,62,61,70,12,63,48,26
20,2018-05-27,69,6,76,82,82,1,8,74,63,52,42,56,53,33,78,45,96,79,63,69,68,21,79,50,27
21,2018-06-03,83,3,77,80,87,1,5,76,79,0,20,61,58,16,81,61,81,75,77,62,71,41,72,49,30
22,2018-06-10,69,2,79,75,85,2,6,75,69,50,20,67,26,13,88,66,87,66,72,74,70,45,74,52,28
23,2018-06-17,79,3,75,64,81,2,5,73,79,0,83,60,33,20,75,45,88,71,67,50,73,21,61,58,30
24,2018-06-24,80,2,99,68,86,2,4,73,60,0,21,60,26,16,83,50,90,72,77,67,70,17,69,65,31
25,2018-07-01,87,3,68,83,86,2,5,73,67,0,21,66,68,24,76,54,100,71,65,59,68,34,63,78,31
26,2018-07-08,73,5,91,100,84,1,6,72,65,0,62,81,52,19,76,63,88,66,68,74,73,16,61,70,31
27,2018-07-15,79,4,69,75,77,3,7,72,65,0,21,62,46,16,80,61,85,67,64,74,71,25,64,85,28
28,2018-07-22,75,5,99,84,71,2,10,100,83,52,0,68,27,37,87,76,89,70,68,69,76,25,65,94,29
29,2018-07-29,79,4,85,66,77,3,9,83,86,0,41,63,53,20,72,78,87,72,72,90,72,21,65,61,32
30,2018-08-05,84,5,93,79,72,2,14,79,61,0,41,66,72,36,78,87,86,63,68,77,79,33,58,56,40
31,2018-08-12,79,11,77,81,72,3,10,77,95,0,0,63,53,39,72,47,88,69,73,62,76,29,67,46,34
32,2018-08-19,77,8,65,60,69,4,69,70,78,0,21,60,53,36,76,49,84,65,57,70,62,42,64,40,29
33,2018-08-26,70,5,65,73,74,4,16,70,64,0,82,59,52,32,83,45,86,72,64,68,72,4,54,48,32
34,2018-09-02,80,4,84,87,63,3,6,73,65,0,0,63,85,48,79,64,91,73,64,63,72,8,59,37,26
35,2018-09-09,68,2,69,70,77,4,5,63,64,49,60,54,95,13,66,45,78,75,65,93,65,24,64,23,28
36,2018-09-16,61,7,91,67,62,4,23,70,53,0,20,55,38,19,71,30,75,60,63,59,62,24,62,21,30
37,2018-09-23,71,4,72,70,69,6,13,61,88,0,20,50,51,35,80,42,74,61,60,62,73,24,54,17,30
38,2018-09-30,69,5,75,70,63,8,12,61,69,0,40,49,44,31,62,46,72,65,54,67,73,12,65,20,30
39,2018-10-07,67,6,91,66,62,9,6,68,73,0,61,53,77,25,70,41,78,63,58,86,70,32,60,15,29
40,2018-10-14,70,6,74,73,80,9,7,60,72,0,20,53,39,100,74,49,80,58,59,67,67,25,60,8,31
41,2018-10-21,64,4,87,66,64,10,9,58,75,50,20,51,76,60,65,100,74,54,56,58,62,16,62,8,31
42,2018-10-28,66,3,94,59,60,14,9,74,87,51,20,49,45,52,64,33,76,56,57,65,71,33,62,8,30
43,2018-11-04,66,4,71,58,71,21,8,69,82,0,39,50,37,52,66,22,78,77,52,87,63,12,71,5,25
44,2018-11-11,65,4,67,55,62,40,5,64,78,0,40,50,44,19,76,28,83,55,55,64,61,24,56,5,28
45,2018-11-18,67,5,56,59,62,48,7,58,72,0,21,48,94,20,71,22,94,48,46,44,53,21,62,5,26
46,2018-11-25,65,3,76,73,67,78,6,61,78,0,0,49,67,18,66,14,80,50,55,56,61,11,57,5,21
47,2018-12-02,70,3,83,60,64,100,11,59,83,0,59,55,69,31,69,12,71,50,61,61,59,16,47,7,30
48,2018-12-09,59,4,84,58,60,90,6,60,66,0,60,53,6,35,71,13,71,58,55,62,56,28,56,5,29
49,2018-12-16,70,4,66,62,68,81,14,68,77,0,20,51,39,16,60,13,80,59,60,69,58,16,65,5,30
50,2018-12-23,93,6,56,62,68,83,20,57,61,0,69,48,44,18,61,13,91,51,49,40,55,14,59,8,31
51,2018-12-30,80,8,67,58,61,41,10,65,67,0,0,59,54,27,65,14,89,64,56,59,58,30,70,7,43
52,2019-01-06,74,8,67,60,69,18,20,56,64,50,40,51,44,44,58,18,80,56,61,62,62,36,68,9,31
53,2019-01-13,63,4,56,64,67,13,20,55,46,0,39,50,37,28,51,22,75,51,51,57,61,27,54,9,28
54,2019-01-20,66,2,57,61,62,10,8,53,43,0,19,46,31,43,57,22,76,55,100,58,67,19,56,10,30
55,2019-01-27,71,6,72,70,59,7,9,51,58,0,19,51,31,15,62,23,72,53,52,59,52,15,64,11,35
56,2019-02-03,72,2,57,55,63,5,11,61,54,0,19,49,0,12,61,26,72,56,59,62,62,19,68,10,37
57,2019-02-10,66,8,77,58,68,5,8,65,49,0,0,56,12,33,63,21,70,51,61,55,53,30,70,13,37
58,2019-02-17,65,5,68,46,67,5,8,55,66,0,19,57,0,30,54,18,74,55,57,67,57,8,54,13,31
59,2019-02-24,60,4,56,80,66,3,12,53,66,0,38,52,0,24,54,16,69,51,58,62,56,11,54,10,33
60,2019-03-03,67,6,62,53,68,4,11,63,63,0,39,59,0,21,63,18,68,52,52,52,58,19,57,13,32
