,date,Old Town Road,Near North District School Board,Avondale,Dearborn Park International Elementary School,Community South Commons Messin,Roscoe Village,Printer's Row,Old Town,Lathrop Homes,Norwood Park,Bridgeport,Greektown,DePaul University,Ravenswood,New Eastside,O'Hare International Airport,Bronzeville,Regal Cinebarre West Town Mall,South Shore Plaza,Wrightwood Neighbors,North Center,Uptown Cheapskate,Dunning,Rogers Park,Petla,West Ridge,Hyde Park Winter Wonderland,The Westin Chicago River North,Bucktown,South Loop,Streeterville,Back of the Yards,Portage Park,Fulton River District,Budlong Woods,Edgewater,Jefferson Park,Sheffield Neighbors,Clearing,Lakeview Terrace,Goose Island Brewery,River West,Near West Side,Irving Park,Andersonville National Historic Site,Little Italy,Galewood,Gold Coast,West Loop Gate,Nothing like the Holidays,Logan Square
0,2018-01-07,0,0,75,100,22,16,22,12,63,86,56,98,54,0,72,31,12,16,0,65,37,51,9,12,19,15,58,100,82,42,26,36,2,0,57,8,0,59,11,25,45,30,13,37,46,16,42,51,10,66,22
1,2018-01-14,0,0,76,0,57,26,28,24,68,89,65,80,45,12,72,29,10,18,0,77,44,58,9,35,9,11,70,0,66,53,28,46,10,0,47,25,50,51,13,30,74,67,13,30,41,16,44,0,6,65,13
2,2018-01-21,0,48,66,0,39,16,19,23,57,86,73,85,62,12,66,50,4,11,0,61,34,53,10,0,15,8,60,49,66,39,24,33,4,0,50,8,0,56,10,23,39,53,3,46,47,19,40,50,1,58,28
3,2018-01-28,0,0,70,25,44,16,20,35,52,85,59,89,60,49,62,33,1,13,35,53,36,66,8,0,14,5,58,0,75,36,29,33,2,35,57,8,0,50,9,23,39,54,19,49,35,32,39,0,1,55,16
4,2018-02-04,0,0,73,24,34,14,20,23,61,85,52,89,38,24,88,35,11,12,0,36,36,44,9,11,5,5,41,49,75,44,19,45,13,18,50,48,25,59,17,25,22,59,16,42,31,22,38,0,3,51,19
5,2018-02-11,0,0,72,25,48,29,25,24,34,89,51,83,47,37,67,20,3,13,0,68,38,57,10,35,16,4,64,25,73,49,30,32,0,18,51,41,0,48,8,25,50,66,16,31,40,19,39,0,4,59,20
6,2018-02-18,0,96,77,0,44,16,20,35,71,92,56,83,55,12,65,33,6,16,35,42,44,50,9,11,16,3,48,37,74,36,37,51,6,0,50,65,0,62,11,27,33,65,10,39,38,22,36,0,4,58,13
7,2018-02-25,0,48,79,25,42,11,30,35,71,98,54,82,41,37,72,45,7,18,0,65,40,76,9,0,10,3,74,74,68,47,35,50,6,18,59,41,0,54,8,28,33,54,10,35,61,26,33,0,2,68,20
8,2018-03-04,0,0,80,0,52,21,24,23,70,89,55,79,39,36,69,43,1,15,0,64,39,56,9,0,14,3,58,73,73,47,32,71,6,0,67,48,0,57,25,30,27,35,32,38,45,32,42,0,3,61,21
9,2018-03-11,0,0,73,25,58,9,29,35,48,92,66,90,52,25,71,39,11,19,0,73,42,54,11,12,17,2,73,0,72,39,20,42,6,71,58,33,25,60,8,37,28,42,39,33,35,29,44,0,1,57,23
