,date,RiverTown Crossings,Downtown,Tokyo Midtown,Brush Park,"The National Art Center, Tokyo",Islandview
0,2018-01-07,35,38,16,25,39,0
1,2018-01-14,35,38,0,42,0,30
2,2018-01-21,25,12,31,24,19,0
3,2018-01-28,28,49,39,16,58,89
4,2018-02-04,29,55,47,24,19,0
5,2018-02-11,36,100,24,25,39,30
6,2018-02-18,37,74,23,33,39,0
7,2018-02-25,33,99,31,25,0,0
8,2018-03-04,42,67,54,24,38,0
9,2018-03-11,35,50,39,25,39,30
10,2018-03-18,53,43,16,41,0,30
11,2018-03-25,39,57,40,34,100,0
12,2018-04-01,68,26,48,59,0,31
13,2018-04-08,38,37,39,33,59,30
14,2018-04-15,42,44,16,41,59,0
15,2018-04-22,33,38,24,50,0,0
16,2018-04-29,28,37,39,66,0,0
17,2018-05-06,34,32,48,50,0,0
18,2018-05-13,32,51,24,51,0,0
19,2018-05-20,27,72,33,26,0,0
20,2018-05-27,32,53,33,78,21,0
21,2018-06-03,24,58,57,60,41,0
22,2018-06-10,34,26,24,43,61,31
23,2018-06-17,37,33,17,43,21,32
24,2018-06-24,29,33,42,52,0,0
25,2018-07-01,37,68,9,36,21,0
26,2018-07-08,37,46,25,52,0,63
27,2018-07-15,42,46,25,43,0,0
28,2018-07-22,38,27,8,53,0,64
29,2018-07-29,35,53,25,52,21,32
30,2018-08-05,40,72,58,43,21,32
31,2018-08-12,38,53,42,61,0,32
32,2018-08-19,33,53,33,52,21,0
33,2018-08-26,33,58,25,26,0,0
34,2018-09-02,37,78,25,9,0,63
35,2018-09-09,33,95,24,8,0,0
36,2018-09-16,25,38,40,25,0,0
37,2018-09-23,29,51,16,42,20,31
38,2018-09-30,34,44,8,8,20,30
39,2018-10-07,25,77,16,59,0,31
40,2018-10-14,31,39,49,26,41,63
41,2018-10-21,35,76,40,8,40,31
42,2018-10-28,34,45,49,17,41,31
43,2018-11-04,36,37,31,16,0,0
44,2018-11-11,43,44,24,25,40,61
45,2018-11-18,100,94,42,35,42,97
46,2018-11-25,33,61,38,16,0,59
47,2018-12-02,46,69,32,41,20,30
48,2018-12-09,41,6,16,25,40,0
49,2018-12-16,72,45,8,34,0,31
50,2018-12-23,98,51,64,58,46,0
51,2018-12-30,66,74,43,44,21,0
52,2019-01-06,32,44,16,17,20,61
53,2019-01-13,26,37,31,49,19,0
54,2019-01-20,32,31,47,16,0,59
55,2019-01-27,51,24,15,56,0,88
56,2019-02-03,39,0,0,55,0,0
57,2019-02-10,23,12,8,32,19,0
58,2019-02-17,27,0,15,16,19,29
59,2019-02-24,31,0,15,16,19,0
60,2019-03-03,29,0,8,8,0,0
61,2019-03-10,36,0,23,32,19,0
62,2019-03-17,31,0,16,100,0,0
