,date,Koreatown,Eagle Rock Resort,West Adams,Sunland-Tujunga,Westchester County,Pico Union,Valley Glen,West Los Angeles,Sun Valley,Hollywoodbets,Elysian Valley,Woodland Hills,"WATTS CO.,LTD.",Westlake,Boyle Heights,Harbor Gateway Transit Center,Pacoima,Echo Park,Glassell Park,Sunland-Tujunga,Barb and Star Go to Vista Del Mar,Mid-City,His and Her Circumstances,Gig Harbor,Century City,Copa del Rey,Reseda,Montecito Heights,South Los Angeles,Lincoln/Cypress,Atwater Village,Pacific Palisades,Mount Washington,Sylmar,Los Feliz,Playa del Rey,Toluca Lake,Pico - Robertson,SoFi Stadium,Sawtelle Boulevard,Hollywood Hills,Crenshaw,Brentwood,Taos Ski Valley,Park Mesa Heights,Tarzana,Vivienne Westwood,Rock 'N' Bowl,Panorama City,Van Nuys,Canoga Park,Nasu Highland Park,Studio City,Downtown,Palms,North Hollywood,Lincoln Heights,Playa Vista,Beverly Crest,San Pedro,Mid-Wilshire,Lake Balboa,Venice,KSNG,Under the Silver Lake,Wilmington,Sherman Oaks,El Sereno,Winnetka,Encino,Harvard Heights,Chatsworth House,Hotel the West Hills Mito,City centre
0,2018-01-07,68,56,42,69,51,79,18,87,67,0,24,72,24,15,36,29,44,21,41,69,0,38,55,98,28,38,17,81,40,48,33,10,100,16,82,63,44,29,1,66,27,22,60,39,24,48,14,33,56,54,71,0,67,31,40,81,49,78,2,81,46,43,60,0,1,27,82,15,55,84,30,53,50,8
1,2018-01-14,70,36,25,60,51,35,9,85,59,0,24,69,0,34,40,44,46,24,19,60,0,0,44,92,26,43,14,100,33,48,22,10,36,15,80,61,35,55,1,61,23,18,70,24,24,50,12,14,52,49,62,0,82,38,44,87,34,75,2,75,50,39,59,0,1,31,89,20,56,89,0,65,59,25
2,2018-01-21,69,40,38,50,49,47,11,84,65,0,19,69,0,58,51,0,39,26,33,50,0,38,54,81,24,79,33,36,38,0,32,9,29,15,57,63,37,46,0,71,27,19,69,37,24,48,12,35,50,52,61,0,73,12,44,79,29,75,2,75,49,32,62,0,1,28,84,13,55,78,0,67,56,8
3,2018-01-28,67,60,51,100,47,51,17,85,63,0,26,67,0,29,44,14,46,25,17,100,0,0,38,79,22,41,11,36,40,47,26,9,28,14,70,44,42,29,0,54,32,19,75,18,0,50,16,38,64,52,63,0,88,49,46,77,29,79,2,75,65,35,64,0,1,29,79,18,53,78,0,48,66,8
4,2018-02-04,64,15,31,57,49,61,15,81,57,0,30,68,0,25,41,29,42,25,17,57,0,0,43,82,22,45,19,22,39,47,31,9,27,14,70,78,32,35,1,60,31,17,68,20,24,46,16,21,61,51,59,0,72,55,44,76,34,73,3,76,68,43,62,0,1,28,84,22,54,87,15,55,76,48
5,2018-02-11,73,61,39,57,47,48,9,83,66,2,45,70,0,11,42,0,69,25,24,57,0,19,65,80,24,5,17,13,29,24,31,15,30,15,77,82,44,50,0,65,30,21,68,33,0,50,17,33,55,55,62,0,73,100,48,87,42,83,2,80,69,18,64,0,2,31,90,21,62,85,45,66,64,41
6,2018-02-18,68,90,46,74,47,58,6,81,67,0,37,66,0,15,57,0,47,30,24,74,0,0,38,77,27,3,14,53,33,47,26,12,28,17,73,60,34,50,0,77,24,23,63,35,24,52,13,40,51,55,60,0,78,74,50,82,45,73,2,78,23,37,66,0,3,31,83,15,64,89,15,62,67,65
7,2018-02-25,66,45,51,68,55,68,13,88,71,0,21,75,0,29,47,0,45,25,23,68,0,38,54,74,21,3,17,40,37,71,27,9,29,16,77,68,39,50,0,80,30,21,72,22,24,51,13,38,64,56,74,0,75,99,63,88,42,86,2,85,57,43,65,0,3,33,87,23,66,90,15,62,79,41
8,2018-03-04,83,30,52,55,60,27,12,81,56,2,35,70,0,25,51,43,55,23,27,55,0,37,48,71,22,4,14,13,33,47,25,10,25,16,81,68,45,39,0,51,26,21,77,22,24,47,15,44,49,58,68,0,74,67,54,83,31,76,1,76,38,38,72,0,1,32,77,13,61,88,15,67,84,48
9,2018-03-11,77,46,44,64,50,38,39,82,57,0,26,72,0,11,68,15,52,24,14,64,0,19,49,72,22,2,11,40,36,24,30,9,24,16,99,73,34,36,0,54,29,21,67,25,24,45,11,36,63,60,70,0,80,50,54,84,34,71,4,82,69,50,70,0,1,30,84,17,52,93,0,71,75,33
10,2018-03-18,67,40,53,73,54,34,14,82,58,0,42,72,0,26,47,14,59,25,31,73,0,0,32,80,21,3,31,22,37,0,34,10,23,15,75,71,40,43,0,50,32,21,84,16,0,51,16,26,62,58,66,0,76,43,62,85,35,76,3,82,42,52,64,0,59,32,86,12,55,90,15,47,61,24
11,2018-03-25,84,31,35,56,50,49,14,89,54,0,50,69,25,8,43,60,48,28,23,56,0,39,33,72,24,3,26,28,38,24,39,8,26,14,83,78,46,40,1,67,26,21,73,12,0,54,10,46,53,53,58,0,73,57,100,88,24,79,2,84,63,69,77,0,27,33,88,14,46,82,91,53,78,42
12,2018-04-01,83,31,57,86,48,77,16,81,42,0,36,75,25,34,63,0,48,30,31,86,0,20,67,73,24,2,17,18,31,25,32,10,30,17,78,56,44,37,0,47,28,19,86,5,0,55,12,24,50,58,66,0,78,26,58,89,28,92,4,92,79,61,78,0,15,36,86,14,58,91,15,75,85,8
13,2018-04-08,68,35,41,67,46,34,12,93,42,0,19,69,24,29,51,29,47,24,27,67,0,19,65,73,25,5,22,22,46,48,29,9,27,15,77,82,44,54,0,65,29,30,67,4,72,45,15,40,48,56,68,0,78,31,56,84,35,85,2,79,53,66,65,0,17,33,82,17,60,84,0,70,65,24
14,2018-04-15,73,36,56,62,48,69,17,91,45,0,42,68,0,22,51,15,45,27,24,62,0,19,33,67,21,47,25,27,35,24,37,10,26,16,73,59,36,47,0,48,29,20,78,4,24,51,12,31,51,55,62,0,83,50,58,79,17,91,1,76,62,55,74,0,7,32,86,15,58,92,0,61,86,66
15,2018-04-22,69,36,54,66,49,41,13,77,41,5,23,70,24,22,45,58,52,30,17,66,0,0,27,76,26,13,25,32,37,0,33,8,31,14,79,70,43,33,0,61,27,21,68,4,96,46,12,57,51,52,59,0,76,38,59,81,28,96,2,86,65,47,65,56,12,31,90,18,57,81,30,53,75,8
16,2018-04-29,71,20,53,82,48,27,17,92,42,2,21,71,0,11,53,15,46,28,25,82,0,38,32,71,25,3,34,22,38,48,26,8,25,14,69,86,42,25,0,63,23,18,73,3,24,45,11,43,60,58,59,0,80,37,55,86,46,95,5,83,65,53,64,0,9,30,87,16,59,87,15,70,67,16
17,2018-05-06,82,57,49,65,50,49,8,98,42,0,36,73,0,7,48,59,51,33,26,65,0,58,39,75,25,2,20,46,38,0,36,9,31,15,95,70,46,51,0,58,30,24,69,5,49,53,13,31,55,60,61,0,81,25,60,82,30,91,1,83,51,53,66,0,9,32,97,22,66,88,0,67,100,50
18,2018-05-13,76,26,62,70,51,42,11,82,41,0,36,76,0,15,46,0,42,27,19,70,0,0,39,72,24,2,17,37,49,0,28,9,31,14,83,61,41,37,0,46,26,20,78,5,0,50,13,37,55,55,69,0,73,51,56,83,34,95,2,81,59,43,68,0,35,32,90,17,62,90,15,61,82,42
19,2018-05-20,84,74,46,68,49,43,12,88,45,2,24,70,25,12,47,76,47,29,25,68,0,20,57,80,24,2,21,28,32,100,29,9,43,14,65,71,39,41,0,61,24,20,89,4,25,46,15,32,53,62,63,15,76,72,57,81,25,94,2,88,68,45,69,0,17,33,89,13,65,88,0,53,84,17
20,2018-05-27,85,27,38,72,50,54,15,91,46,5,30,72,26,8,52,0,52,26,20,72,0,0,46,82,24,1,27,43,34,25,34,10,36,17,75,82,42,53,0,59,23,19,83,5,51,52,14,25,60,54,64,0,81,53,59,86,25,76,2,86,57,60,81,0,17,33,90,12,63,89,0,68,87,26
21,2018-06-03,83,79,68,65,48,32,7,79,53,0,24,73,0,0,53,30,55,27,30,65,0,0,40,80,24,1,18,28,39,50,32,10,41,17,75,85,46,26,0,61,29,24,75,5,25,47,19,44,53,59,69,0,75,58,57,82,16,85,3,85,48,57,79,0,10,34,88,21,68,83,31,89,74,68
22,2018-06-10,86,58,53,64,48,78,16,100,59,0,31,76,0,23,46,15,54,29,26,64,0,20,56,74,28,1,20,37,34,25,46,9,54,17,72,76,46,41,0,69,29,21,83,5,25,56,15,37,59,63,63,0,84,26,56,100,30,87,100,89,48,42,83,0,11,37,97,24,74,98,0,81,88,42
23,2018-06-17,94,48,33,72,49,43,7,94,58,0,39,72,0,31,41,31,51,27,15,72,0,0,40,97,30,2,30,47,36,0,24,9,53,14,85,75,49,42,0,65,35,26,85,8,25,49,9,25,60,55,60,0,74,33,54,81,31,91,6,87,48,48,76,0,6,35,93,16,69,82,0,66,69,26
24,2018-06-24,94,64,44,70,50,51,8,91,63,2,35,77,51,8,46,31,47,29,34,70,0,0,29,87,28,1,21,24,33,51,32,9,53,16,90,94,45,31,0,68,21,22,77,9,0,45,13,40,48,60,65,0,80,26,55,85,36,92,1,89,69,46,80,0,6,37,95,15,66,88,16,41,81,17
25,2018-07-01,100,72,53,83,51,30,18,93,73,0,31,86,26,24,51,32,53,33,37,83,0,21,59,87,29,1,12,54,41,0,36,13,60,17,85,100,49,47,0,69,29,24,88,7,52,49,10,10,70,67,71,0,91,68,55,100,40,96,2,100,80,74,100,0,9,40,100,19,75,100,16,48,67,45
