,date,Elmhurst University,Cobble Hill,Ridgewood,Maspeth,College Point Multiplex Cinemas,Bedford Park,Kew Gardens Hills,เซนต์ จอร์จ แบงก์,Jamaica,Midwood,Roxbury - Rockaway Park - Far Rockaway,Throgs Neck,Riverdale,Gravesend,Flatbush,Kensington,Flushing,Prospect Lefferts Gardens,Crowd,Murray Hill,Borough Park,Oakland Gardens,Parkchester,Kingsbridge,East New York,Sutton Place Hotel Vancouver,Flatiron District,The Battery,Lower East Side,St Albans,Brooklyn Heights,Middle Village,Tottenville,AMC Bay Terrace 6,Crown Heights,Roosevelt Island,Park Slope,Glen Oaks Funeral Home & Cemetery,Midland Beach,Washington Heights,Williamsburg,Mason Greenwood,East Harlem,Boerum Hill,Howard Beach,Tokyo Midtown,Coney Island - Windsor Terrace,Upper East Side,Downtown,Auburndale,Coney Island,Great Kills,Upper West Side,Chelsea F.C.,Tribeca,Jamaica Estates,Forest Hills,"Royal Botanic Gardens, Kew",Hamilton Heights,Fort Greene,New Springville,Bensonhurst,Gramercy,Sunset Park,Morningside Heights,University Heights,Sunnyside Dispensary,Bushwick,Coronavirus,Greenwich Village,Bay Ridge,Carroll Gardens,Richmond Hill,East Flatbush,Gowanus,Rego Park,Rossville,Jackson Heights,Woodlawn School,D.B. Woodside,Pelham Bay,FC Astoria Walldorf,Financial District,Prospect Heights,Dumbo,Sheepshead Bay,Harlem,Bedford-Stuyvesant,East Village,Bath Beach,Soundview Family YMCA,West Village,Turtle Bay,Eltingville,Greenpoint,Dyker Heights,Canarsie,Saved by the Bell,Queens Village,Whitestone,Woodhaven,Brighton Beach,Inwood,Douglaston,Briarwood,Williamsbridge,SoHo
0,2018-01-07,39,80,77,89,42,53,19,54,60,66,39,51,23,67,13,79,50,49,78,31,36,60,25,64,21,40,32,84,33,73,76,37,55,56,32,41,0,2,36,64,1,55,35,80,16,51,91,31,66,12,58,86,31,57,21,65,30,17,55,12,57,56,22,18,67,5,81,0,70,76,58,47,55,48,82,36,75,0,9,51,0,76,9,2,49,73,35,72,14,35,96,76,70,73,4,32,4,66,0,0,21,42,56,54,25,69,76
1,2018-01-14,49,49,78,72,65,52,23,55,50,33,66,72,35,72,11,86,61,58,78,24,100,67,33,53,21,32,32,82,42,68,70,62,43,49,22,44,0,7,22,64,0,53,33,74,0,47,92,38,71,12,42,84,29,68,26,63,29,50,62,12,64,47,15,18,60,3,68,0,64,81,69,59,27,51,74,43,69,24,7,13,49,77,10,2,59,74,32,71,27,23,85,56,35,67,4,33,5,71,0,0,26,50,57,46,64,69,66
2,2018-01-21,43,36,75,74,54,49,22,63,69,23,56,54,25,63,11,83,43,45,76,24,80,59,46,52,0,40,32,76,31,70,78,70,54,54,28,44,0,2,20,60,1,52,42,69,31,54,89,12,73,13,51,84,32,66,27,67,22,28,58,23,49,50,15,18,64,3,70,0,77,77,66,52,38,44,66,60,69,47,24,44,0,73,7,2,55,76,30,78,17,11,84,55,50,70,4,33,4,65,0,0,26,53,75,26,53,67,77
3,2018-01-28,47,73,78,74,44,47,22,54,62,75,69,50,16,64,10,80,49,39,68,26,27,69,42,63,0,36,32,72,38,55,88,44,31,49,29,41,0,0,19,62,0,51,39,76,39,35,82,49,71,13,28,73,30,63,25,58,17,29,74,12,52,48,7,23,57,5,64,0,62,87,55,61,48,44,68,53,70,23,15,31,0,76,9,2,49,76,37,67,20,34,80,49,34,64,4,30,6,60,0,0,24,43,67,68,53,65,75
4,2018-02-04,46,63,77,86,52,36,24,53,57,60,45,47,14,71,10,81,100,48,70,28,44,66,41,59,21,35,23,84,33,68,84,44,34,48,26,42,29,5,18,63,0,65,24,76,47,58,85,55,71,14,36,74,28,68,22,58,25,65,71,23,59,39,25,22,70,3,63,0,60,83,59,49,59,34,78,56,69,0,11,44,0,87,10,2,50,80,29,70,27,11,76,51,34,58,1,27,5,67,0,0,38,50,59,41,48,64,61
5,2018-02-11,47,57,85,81,80,45,16,56,68,28,49,40,32,62,12,87,71,44,81,26,45,62,34,57,63,42,34,87,31,66,95,35,74,52,25,44,0,5,22,66,1,45,29,80,24,16,86,100,72,15,34,83,32,66,27,63,35,41,57,59,68,65,11,25,58,3,66,0,75,80,60,65,57,44,76,82,68,0,13,38,0,78,9,2,70,81,34,77,24,12,86,56,81,67,3,29,5,66,0,0,25,58,76,69,63,72,69
6,2018-02-18,49,49,74,69,100,55,10,62,59,42,52,33,29,65,10,85,52,40,71,22,36,71,41,55,0,38,45,81,42,65,76,69,100,41,31,41,0,9,17,68,1,54,32,77,23,35,84,74,70,17,28,78,66,64,25,61,32,24,72,47,69,32,22,28,66,3,63,0,64,82,50,55,30,53,78,64,82,0,17,56,0,66,11,2,100,82,25,83,10,46,80,65,38,70,2,28,4,56,33,37,32,55,80,49,72,76,60
7,2018-02-25,44,50,81,81,36,59,22,53,51,33,73,29,27,73,11,78,33,38,79,23,36,56,34,57,0,34,42,95,38,64,85,63,39,49,28,44,29,9,21,70,1,53,29,83,31,70,83,99,75,17,31,78,27,65,22,62,31,25,59,0,61,41,11,25,62,3,72,0,60,79,67,68,49,44,72,57,68,0,24,82,0,73,9,2,66,77,31,70,17,35,82,57,46,74,4,49,4,61,0,38,22,65,68,57,53,65,76
8,2018-03-04,42,67,86,84,44,57,18,50,53,65,49,36,16,81,9,83,35,37,71,32,71,63,24,50,41,35,43,75,40,63,75,79,40,49,33,100,0,2,21,68,0,64,23,79,54,46,83,67,70,16,61,83,28,60,25,63,30,32,46,23,42,52,7,28,60,3,66,0,71,79,61,69,56,52,78,80,69,0,21,68,0,66,10,2,56,72,35,70,23,11,77,46,42,67,1,42,4,83,0,0,23,71,76,41,53,76,64
9,2018-03-11,36,72,74,83,35,55,16,51,51,80,51,33,27,67,10,83,41,36,75,37,36,71,30,55,21,42,38,86,32,68,72,50,31,50,36,51,0,7,18,70,1,58,42,68,39,27,83,50,77,18,39,79,58,65,20,72,41,25,59,24,64,44,18,18,56,4,64,0,75,79,55,63,38,45,70,32,72,23,8,44,0,69,8,2,56,69,33,74,17,23,82,47,39,64,4,34,4,62,0,0,26,63,77,49,39,69,63
