,date,Fishtown,Southwest Center City,Point Breeze Credit Union,Chinatown,WPHL-TV,Passyunk Square,Spring Garden Road,Callow Hill,Hawthorne,American Pie,Manayunk,Society Hill,West Mount Airy,Pennsport,Washington Square Park,Queen Village,Fitler Square,Staten Island,Rittenhouse Square,Somerton,East Kensington,Jefferson Torresdale Hospital,Northern Liberties,Francisville,Bella Vista,Fairmount,Old City,Logan Square
0,2018-01-07,32,34,71,54,5,37,13,0,19,33,52,70,38,31,24,51,32,70,46,48,17,0,59,38,23,22,62,67
1,2018-01-14,38,58,59,58,5,42,0,97,38,32,52,62,19,23,18,40,24,72,66,41,17,15,70,45,38,18,31,65
2,2018-01-21,27,62,55,47,6,60,13,0,0,24,46,70,28,15,27,24,16,67,57,20,16,10,58,25,30,23,0,60
3,2018-01-28,29,45,66,62,5,28,38,0,0,41,51,64,37,15,25,45,16,66,46,20,33,5,91,31,30,24,30,55
4,2018-02-04,33,39,52,55,13,41,0,0,37,94,56,66,37,30,20,50,39,66,69,20,0,5,61,31,29,41,0,52
5,2018-02-11,30,63,51,86,7,32,26,0,19,100,61,75,85,23,23,29,24,70,52,14,0,10,76,25,45,25,31,59
6,2018-02-18,34,45,53,83,5,83,0,0,75,72,78,70,28,45,29,47,63,69,42,40,49,0,60,13,22,24,0,59
7,2018-02-25,29,45,55,69,6,92,38,0,0,50,69,61,9,38,22,61,40,72,67,47,33,15,58,6,37,22,0,68
8,2018-03-04,30,62,59,74,5,91,25,0,19,49,49,42,37,15,23,42,31,78,49,27,0,14,77,31,59,20,60,61
9,2018-03-11,31,57,59,67,6,42,25,0,0,36,57,53,19,23,22,40,16,71,72,54,16,15,51,25,22,19,0,57
10,2018-03-18,30,51,73,66,11,37,13,0,76,34,61,67,19,15,27,50,24,71,75,20,33,5,55,38,52,23,31,65
11,2018-03-25,35,12,64,88,4,43,26,0,58,41,67,85,48,62,24,54,25,71,53,49,0,5,68,26,31,25,63,66
12,2018-04-01,31,47,58,63,6,47,13,0,19,34,58,73,39,31,32,52,25,72,56,77,51,20,54,26,69,18,32,65
13,2018-04-08,35,68,52,67,13,42,13,0,19,30,64,69,19,23,27,58,24,68,63,27,0,19,75,32,67,24,31,57
14,2018-04-15,37,34,70,57,4,60,26,0,19,31,74,100,57,23,51,43,32,75,92,55,0,24,69,19,30,26,0,73
15,2018-04-22,33,51,61,63,7,46,26,0,38,30,51,49,66,23,32,56,32,71,75,20,0,5,75,32,38,23,62,61
16,2018-04-29,34,74,59,63,5,51,25,0,38,27,56,61,47,30,40,58,32,77,55,34,16,19,67,44,22,27,31,70
17,2018-05-06,37,29,52,60,9,52,13,0,19,30,66,70,48,15,28,43,73,76,80,41,33,10,66,26,68,29,31,60
18,2018-05-13,33,41,56,78,4,86,0,0,39,33,52,77,19,23,30,49,16,74,58,35,85,15,75,52,39,25,0,72
19,2018-05-20,33,60,62,76,3,39,27,0,0,29,59,55,40,63,39,39,42,77,72,28,34,20,71,53,70,20,32,68
20,2018-05-27,40,78,71,69,7,59,13,0,60,32,59,60,100,32,40,65,34,81,73,36,17,26,70,27,32,26,0,73
21,2018-06-03,48,83,53,83,6,43,53,0,20,30,57,87,10,63,34,28,25,79,62,49,34,30,57,79,39,27,32,73
22,2018-06-10,43,65,73,69,4,53,40,0,59,28,62,61,29,24,39,63,25,81,59,21,34,20,64,52,31,20,32,81
23,2018-06-17,34,24,64,79,7,68,40,0,20,27,84,53,40,8,38,36,0,88,69,29,35,10,87,53,31,27,0,86
24,2018-06-24,37,79,65,80,4,69,0,0,60,29,70,62,40,32,44,51,42,84,63,50,35,15,59,20,32,23,0,87
25,2018-07-01,41,62,60,87,5,56,28,0,83,30,54,60,31,8,35,52,44,76,68,37,18,11,88,62,33,40,0,81
26,2018-07-08,40,66,67,73,4,68,13,0,20,35,59,57,40,16,36,70,67,81,97,43,34,20,78,60,39,25,32,79
27,2018-07-15,37,42,66,79,5,44,13,0,60,32,67,47,40,64,32,84,25,76,93,43,35,20,72,40,63,24,32,76
28,2018-07-22,39,92,73,75,3,64,0,0,20,35,65,76,41,8,31,48,34,83,82,65,18,16,63,61,32,23,33,80
29,2018-07-29,41,24,46,79,6,68,54,0,100,34,58,68,60,40,41,95,50,75,89,100,35,26,100,33,16,27,32,77
30,2018-08-05,36,30,60,84,4,49,27,0,20,35,98,68,60,32,40,59,34,76,63,72,0,21,91,80,47,22,65,95
31,2018-08-12,44,66,59,79,4,49,27,0,20,36,61,71,40,48,36,87,17,80,69,22,17,15,89,67,40,21,0,84
32,2018-08-19,34,42,57,77,10,59,27,0,0,32,60,52,10,40,35,71,25,77,61,36,35,31,71,34,48,27,33,79
33,2018-08-26,35,30,66,70,3,43,27,0,59,31,50,68,0,71,39,75,0,68,64,28,17,15,46,26,55,19,0,75
34,2018-09-02,35,77,44,80,7,63,13,0,20,30,54,64,20,24,35,53,58,67,61,28,0,15,77,46,62,17,0,69
35,2018-09-09,25,81,82,68,5,28,39,0,38,24,49,72,48,23,29,51,32,67,84,34,17,15,69,45,23,29,31,68
36,2018-09-16,37,35,63,61,6,42,13,0,0,25,53,66,29,23,32,41,16,69,58,41,33,25,74,39,46,17,94,58
37,2018-09-23,29,29,55,71,5,9,13,0,58,28,54,76,38,38,32,30,8,68,67,48,0,20,57,0,38,22,31,58
38,2018-09-30,35,52,39,69,2,56,26,0,0,28,49,64,10,31,37,40,40,66,62,62,33,10,60,38,30,23,0,62
39,2018-10-07,35,76,73,67,4,38,39,0,20,27,53,42,29,78,35,41,25,70,72,28,0,20,55,33,23,17,0,59
40,2018-10-14,33,42,55,70,5,43,27,100,40,29,56,85,30,47,30,47,33,66,67,7,17,41,70,26,39,26,32,65
41,2018-10-21,35,52,46,64,8,38,13,0,19,27,51,52,0,31,36,54,57,63,67,35,33,25,46,32,23,26,31,72
42,2018-10-28,33,59,56,66,5,34,40,0,59,26,50,70,10,24,33,50,17,63,62,64,34,15,47,33,70,18,0,69
43,2018-11-04,30,45,47,66,8,50,13,94,93,26,45,56,19,45,22,39,24,71,48,80,32,29,61,31,51,19,0,60
44,2018-11-11,26,46,65,65,6,42,0,0,19,27,49,47,19,31,22,27,32,65,52,34,0,15,49,0,30,16,94,51
45,2018-11-18,32,6,56,67,4,25,14,0,20,31,42,46,10,33,24,46,17,64,63,22,18,16,52,14,32,26,99,49
