,date,South Side Slopes,Mount Lebanon Township,Squirrel Hill North,South Side Flats,Shadyside,North Oakland,Mount Washington,Lower Lawrenceville,Strip District,Bloomfield,Las Vegas Raiders,Central Business District
0,2018-01-07,0,62,4,33,72,50,100,0,52,88,14,74
1,2018-01-14,0,58,5,44,67,17,35,50,54,85,7,64
2,2018-01-21,8,60,4,33,80,65,29,0,61,90,7,71
3,2018-01-28,0,69,5,22,70,49,27,0,39,84,6,77
4,2018-02-04,8,68,6,0,82,33,27,0,54,81,7,73
5,2018-02-11,8,66,6,33,74,66,30,0,52,90,5,64
6,2018-02-18,15,67,5,44,71,66,27,0,49,81,5,69
7,2018-02-25,15,72,6,11,84,33,29,99,55,90,6,95
8,2018-03-04,15,61,5,54,70,81,25,0,62,100,7,74
9,2018-03-11,8,80,4,55,75,33,24,0,59,95,16,83
10,2018-03-18,100,65,5,22,78,16,23,0,57,96,13,72
11,2018-03-25,16,64,5,11,84,34,26,0,72,87,9,69
12,2018-04-01,24,62,5,34,82,68,29,0,54,88,8,77
13,2018-04-08,15,63,4,44,67,82,27,0,61,94,8,67
14,2018-04-15,23,62,6,11,76,67,25,50,54,85,9,65
15,2018-04-22,8,68,5,33,71,17,30,0,72,88,17,70
16,2018-04-29,8,70,4,55,71,17,26,0,55,87,11,68
17,2018-05-06,16,62,4,45,80,34,31,0,50,96,7,62
18,2018-05-13,8,65,6,23,71,34,30,0,70,95,7,63
19,2018-05-20,24,63,6,46,81,0,42,0,67,91,7,63
20,2018-05-27,16,78,5,35,78,18,35,53,79,97,7,76
21,2018-06-03,0,67,5,11,65,0,41,0,58,95,7,76
22,2018-06-10,8,69,5,34,77,34,52,0,59,94,7,80
23,2018-06-17,24,72,6,23,72,17,53,52,69,91,6,77
24,2018-06-24,8,66,6,70,88,0,53,0,59,100,6,83
25,2018-07-01,8,83,6,24,85,0,59,54,72,93,6,82
26,2018-07-08,0,63,5,46,83,0,55,52,75,90,6,75
27,2018-07-15,8,61,5,23,80,0,53,0,71,80,6,82
28,2018-07-22,8,69,6,12,78,18,54,0,69,93,7,85
29,2018-07-29,16,71,6,58,100,17,59,52,72,95,9,65
30,2018-08-05,0,58,6,35,90,52,60,0,71,95,22,76
31,2018-08-12,0,67,5,58,67,35,55,0,68,96,19,65
32,2018-08-19,8,73,5,47,92,53,57,0,75,92,22,60
33,2018-08-26,40,72,6,0,80,17,49,0,60,84,24,69
34,2018-09-02,16,70,6,46,79,52,47,0,55,92,22,57
35,2018-09-09,31,58,5,100,65,17,40,0,52,88,47,58
