,date,Noe Valley,Russian Hill,Scream,Potrero Hill,Lower Pacific Heights,Upper Market,Florida Panhandle,Hayes Valley,Walt Disney World® Resort,Silver Terrace,Excélsior,South Beach,SoMa,Bayview,Telegraph Hill,Outer Sunset,Pork tenderloin,Diamond Heights,Marina,Glen Park,Duboce Triangle,Financial District,Downtown,Nob Hill,Mission Bay,Inner Richmond,Pacific Heights,Lonely Planet New Zealand,Missionary,LaGuardia Airport,Bernal Heights,Alamo Square,Outer Richmond,Crocker Amazon,Parkmerced
0,2018-01-07,78,72,0,68,60,4,67,42,33,6,69,68,36,6,63,58,49,30,0,61,76,25,33,53,20,34,50,42,24,47,4,28,33,5,0
1,2018-01-14,84,42,0,54,62,4,77,39,33,5,71,85,55,35,72,60,33,35,0,54,78,19,46,53,36,31,42,66,24,54,16,35,51,3,0
2,2018-01-21,73,43,0,69,64,4,66,37,32,6,68,75,42,6,22,55,38,34,0,20,75,12,32,56,26,32,36,95,17,20,12,65,42,3,0
3,2018-01-28,72,57,0,52,68,4,64,35,32,5,69,73,67,29,71,53,65,30,0,40,76,50,19,52,35,33,38,84,39,27,16,41,50,5,31
4,2018-02-04,75,65,1,58,70,3,70,37,32,5,70,60,67,28,26,49,38,39,0,73,89,43,38,35,38,32,41,52,56,60,36,48,30,3,0
5,2018-02-11,72,63,1,82,73,5,66,40,0,4,72,66,72,23,58,52,27,39,0,20,78,95,39,61,39,30,41,71,28,47,20,66,33,3,0
6,2018-02-18,67,68,1,50,81,5,65,39,32,5,82,66,54,17,49,51,43,33,0,33,68,62,19,48,37,31,44,82,43,67,32,41,53,3,0
7,2018-02-25,87,65,0,74,85,4,76,38,32,5,83,58,74,11,27,48,60,40,50,47,73,100,19,57,32,33,54,59,28,73,44,65,25,3,31
8,2018-03-04,79,89,0,70,66,4,68,39,48,5,81,61,40,28,61,53,27,28,0,26,67,62,38,56,32,32,56,50,34,46,8,34,30,3,0
9,2018-03-11,72,38,0,53,52,5,62,39,49,5,87,72,45,12,80,49,33,32,0,60,70,44,32,52,19,36,50,49,37,34,32,45,38,4,0
10,2018-03-18,73,66,0,51,65,5,63,37,16,5,80,83,56,11,27,50,38,30,0,27,72,19,52,52,29,33,55,53,35,40,100,38,48,4,0
11,2018-03-25,55,62,0,77,66,5,53,35,33,5,78,74,69,0,55,54,33,29,52,48,90,45,46,45,22,30,46,66,44,62,25,49,28,3,97
12,2018-04-01,74,53,0,56,97,5,75,37,17,5,79,100,44,0,46,48,45,26,0,48,78,26,47,49,41,31,51,79,27,41,12,78,34,5,0
13,2018-04-08,77,63,1,63,65,4,68,35,49,6,68,66,70,35,45,49,16,38,51,13,79,25,52,61,29,30,44,73,28,33,8,79,35,3,0
14,2018-04-15,62,61,0,52,62,4,67,34,33,6,67,64,86,23,40,52,33,34,0,74,90,44,33,35,31,30,54,73,24,34,4,28,35,2,0
15,2018-04-22,81,63,0,65,67,4,70,38,49,6,64,85,68,6,40,50,33,31,0,27,63,38,33,35,41,30,45,81,33,13,12,49,48,3,0
16,2018-04-29,84,66,1,51,83,4,56,33,33,6,62,75,81,23,31,48,87,33,0,27,72,31,39,22,23,32,44,59,61,27,12,100,28,4,0
17,2018-05-06,92,78,1,61,57,4,100,33,17,7,68,83,92,18,36,47,55,28,0,41,81,19,33,53,19,31,50,64,49,20,37,56,49,3,0
18,2018-05-13,80,62,1,47,73,4,89,33,17,6,66,67,77,18,28,46,50,33,0,55,78,26,47,50,29,27,56,91,38,35,17,50,36,4,32
19,2018-05-20,68,46,0,39,60,5,77,32,68,6,60,76,68,24,23,48,74,31,0,21,87,59,41,73,29,27,50,64,54,42,13,47,45,3,0
20,2018-05-27,98,73,0,70,61,7,73,36,0,6,63,57,62,12,61,52,29,27,0,57,79,47,41,51,30,28,49,79,48,50,17,48,24,4,0
21,2018-06-03,92,100,0,74,60,5,83,36,0,6,56,76,47,36,93,49,17,29,0,49,84,46,54,50,29,28,51,72,50,42,13,76,53,3,0
22,2018-06-10,88,82,0,52,58,4,63,37,34,6,61,75,56,36,55,52,23,30,0,42,85,13,54,54,39,31,52,75,29,49,17,54,44,3,98
23,2018-06-17,67,61,1,65,57,5,74,39,51,6,60,80,71,6,47,49,57,30,0,28,88,26,41,41,21,27,54,73,62,64,25,47,61,3,0
24,2018-06-24,73,58,1,45,67,6,57,39,86,6,62,78,45,31,38,51,40,30,0,28,97,7,76,46,31,30,61,79,41,50,4,62,43,5,33
25,2018-07-01,91,99,1,55,55,5,56,39,36,7,71,79,67,25,39,53,48,34,0,66,85,62,43,72,36,25,47,82,90,44,18,83,55,3,0
26,2018-07-08,55,66,1,64,62,5,67,38,0,7,64,76,66,12,33,49,57,39,0,63,100,46,48,46,33,30,53,49,43,21,8,91,58,4,0
