,date,Judkins Park,On the Waterfront,Pioneer Square,Genesee County,Lower Queen Anne,East Queen Anne,Victory Heights,University District,Yusuf Gatewood,North Queen Anne,Fremont,Loyal Heights Elementary School,Seattle Chinatown-International District,Pinehurst Resort,Phinney Ridge,Magnolia,Hacksaw Ridge,North Park University,Uptown Cheapskate,Toronto Maple Leafs,Holes,Mason Greenwood,Leschi,Wedgwood,Capitol Hill,Seaview Golf Club,North Delridge,West Queen Anne,Wallingford,Dunlap,West Woodland,Olympic Hills Golf Club,Bitter Lake,Denny Triangle,Downtown,Child,Alcibiades,Haller Lake,Sunset Hill,Belltown,First Hill,Madison Valley,Ravenna,Admiral,Westlake,North Beacon Hill,Eastlake,Portage Bay Cafe - South Lake Union,Eleven Madison Park,Cedar Park,Scott Adams
0,2018-01-07,0,9,75,51,65,0,0,75,4,26,88,0,41,36,58,24,44,70,37,15,56,1,17,70,2,25,0,0,56,77,36,10,10,0,31,77,12,16,59,83,46,75,35,17,0,44,64,15,57,48,16
1,2018-01-14,2,9,61,50,93,38,51,66,0,0,87,0,49,36,51,24,33,84,44,15,51,0,13,86,2,28,0,0,61,58,60,10,3,25,38,86,9,48,64,82,37,52,47,35,0,42,60,9,55,41,19
2,2018-01-21,0,9,58,50,63,0,0,71,1,0,86,92,46,42,65,27,26,59,34,18,50,1,21,74,2,22,0,0,60,72,58,0,13,37,12,81,10,16,67,52,36,36,31,62,47,51,43,11,50,36,27
3,2018-01-28,0,8,54,50,77,0,0,91,0,0,85,0,46,39,69,29,27,75,36,15,48,0,36,83,2,22,0,50,47,67,47,10,17,12,49,80,12,31,74,76,36,51,34,31,24,42,42,18,52,39,18
4,2018-02-04,0,6,50,66,45,0,0,83,1,0,86,92,83,25,64,28,29,69,36,18,63,0,23,70,2,27,0,0,38,59,12,10,7,37,55,83,15,31,70,52,27,48,32,31,23,44,68,12,49,30,26
5,2018-02-11,1,10,66,57,55,37,0,64,2,0,83,0,77,61,81,32,24,60,38,19,56,1,30,66,3,40,0,25,59,57,24,10,17,38,100,79,15,16,71,69,55,45,30,10,0,44,37,13,51,29,26
6,2018-02-18,1,13,68,53,96,0,0,75,0,0,89,0,49,46,69,41,29,70,44,21,59,1,26,74,2,34,0,0,49,55,12,0,7,37,74,81,18,16,75,44,27,44,30,14,0,44,47,11,51,31,40
7,2018-02-25,4,34,59,56,32,0,0,64,2,0,90,93,56,50,65,44,22,69,40,25,57,1,34,58,3,34,0,0,68,74,47,31,0,25,99,80,9,31,86,60,100,51,37,31,24,48,72,35,51,28,27
8,2018-03-04,1,100,65,60,72,0,0,66,2,0,91,0,64,46,94,43,21,57,39,23,48,0,21,73,2,36,0,49,49,67,23,20,10,37,67,78,13,0,63,59,27,48,32,31,23,42,64,11,55,30,27
9,2018-03-11,2,10,67,55,50,0,0,56,0,0,93,93,68,64,57,44,23,64,42,23,45,1,52,67,3,30,0,0,84,76,35,0,14,13,50,78,21,32,71,74,18,43,32,10,0,41,51,12,49,30,32
10,2018-03-18,0,10,75,55,78,0,51,75,2,0,93,0,61,53,61,44,26,83,39,17,52,1,30,73,2,34,0,50,76,59,12,21,7,0,43,78,10,16,81,62,18,40,33,28,24,42,87,13,53,30,60
11,2018-03-25,0,28,75,51,56,0,0,75,2,0,93,0,71,47,75,47,30,74,31,18,40,1,15,95,2,35,0,0,62,55,24,21,10,38,57,77,12,16,76,89,19,29,47,11,49,41,81,11,49,26,55
12,2018-04-01,1,14,67,54,75,0,0,89,0,53,97,0,72,15,63,62,25,71,44,17,48,1,38,84,3,30,0,0,54,68,36,0,21,64,26,79,12,32,67,66,56,47,46,32,0,55,54,12,56,24,48
13,2018-04-08,2,10,57,53,55,0,0,69,1,0,91,0,48,25,38,59,22,62,39,40,49,0,34,77,3,52,0,0,73,49,24,10,24,100,31,77,12,47,67,66,9,29,42,45,0,44,49,11,52,32,76
14,2018-04-15,1,6,59,58,60,0,0,62,1,26,89,0,58,50,35,64,22,51,38,63,100,1,22,61,2,30,48,0,64,73,36,10,20,38,50,79,7,16,77,77,18,31,37,24,24,51,71,17,53,25,68
15,2018-04-22,2,10,62,45,41,0,0,80,1,26,87,0,68,68,35,70,30,62,50,100,62,1,39,74,2,32,0,0,61,65,24,10,3,13,38,76,12,32,61,61,18,37,57,31,24,57,53,13,54,87,59
16,2018-04-29,10,10,62,48,64,0,0,77,5,0,88,0,45,50,54,88,19,63,39,17,49,0,30,76,2,42,0,25,64,68,35,0,20,38,37,74,10,47,76,66,73,35,41,21,0,50,51,10,55,33,67
17,2018-05-06,0,8,63,52,70,38,0,67,4,0,91,0,45,58,66,78,20,77,48,15,56,1,44,69,2,58,0,25,65,70,24,42,3,0,25,76,9,0,73,63,9,34,35,7,0,55,93,11,56,36,59
18,2018-05-13,2,10,55,48,80,0,0,86,3,0,95,0,63,40,40,65,23,78,45,9,56,1,22,66,2,61,0,0,79,72,12,21,4,26,51,75,8,49,65,73,47,24,35,14,24,57,54,14,61,26,49
19,2018-05-20,1,13,67,50,67,39,0,78,4,0,96,98,50,45,36,57,23,38,48,10,53,1,25,61,3,52,0,52,45,75,12,22,4,26,72,75,6,16,75,82,48,34,39,11,0,46,55,10,59,37,92
20,2018-05-27,1,12,84,50,53,39,0,83,1,0,93,0,50,23,57,57,27,43,49,8,48,1,32,80,2,71,0,0,66,58,37,0,11,13,53,79,8,50,76,77,39,43,37,7,0,55,74,15,56,40,87
21,2018-06-03,2,10,65,52,76,39,0,88,4,27,98,0,58,63,100,45,18,29,48,8,42,1,25,69,2,70,0,0,71,60,25,0,4,39,58,73,9,82,65,82,67,27,33,4,0,63,75,12,55,31,80
22,2018-06-10,0,8,73,52,71,0,0,82,0,27,97,0,74,55,28,44,17,46,47,7,52,1,34,82,2,59,0,0,84,85,37,21,7,13,26,78,12,33,69,79,19,27,33,22,25,48,100,13,53,43,84
23,2018-06-17,0,10,72,46,53,0,0,70,4,0,94,0,70,79,73,42,14,35,45,10,38,1,36,68,2,60,0,0,71,66,37,0,7,40,33,87,6,17,76,62,38,31,29,29,0,52,68,28,53,36,77
24,2018-06-24,0,10,93,55,78,0,0,88,4,0,96,0,88,64,65,38,16,31,48,11,34,1,23,77,2,68,0,0,54,69,0,11,4,27,26,77,6,17,78,66,10,36,31,11,0,57,65,14,53,40,77
25,2018-07-01,1,33,88,51,75,41,0,99,4,0,100,0,68,35,63,40,21,52,53,22,34,1,33,78,2,100,0,27,56,95,13,11,19,14,68,77,8,52,89,48,10,33,29,23,26,73,79,12,60,34,80
26,2018-07-08,1,11,92,58,58,39,0,69,3,27,96,0,97,45,89,37,25,49,47,10,43,1,32,81,3,60,0,0,59,73,37,0,7,39,52,77,17,50,72,80,48,28,30,25,25,43,52,12,56,29,78
27,2018-07-15,3,19,81,62,53,0,0,81,1,0,92,0,100,30,57,36,17,57,58,10,33,1,39,71,3,91,0,0,65,66,12,0,14,26,46,74,8,66,75,72,67,27,32,26,100,54,52,13,56,40,66
28,2018-07-22,4,10,88,55,79,40,54,64,4,0,96,100,77,46,41,36,19,54,62,10,40,1,32,67,3,58,0,0,72,85,25,22,33,94,27,76,3,17,83,95,29,31,35,11,0,51,68,12,54,33,76
29,2018-07-29,6,14,97,59,77,0,0,99,5,27,94,0,89,64,57,36,17,61,59,9,36,1,41,71,2,91,0,0,59,89,0,11,18,53,53,77,9,66,86,57,38,28,31,18,0,46,76,13,56,32,85
30,2018-08-05,2,16,94,77,68,0,0,91,1,0,93,0,73,79,73,33,15,51,56,8,43,1,34,84,2,44,100,0,61,83,25,33,11,79,72,78,5,100,100,74,19,27,30,18,25,47,59,13,55,38,61
31,2018-08-12,1,12,83,56,78,39,0,81,4,0,92,0,84,38,57,35,13,68,60,9,42,1,11,78,2,73,50,0,56,73,100,11,7,13,53,78,2,33,75,75,39,30,41,18,75,53,78,11,55,34,55
32,2018-08-19,1,7,76,76,63,0,0,63,4,0,94,99,62,61,61,35,15,67,57,9,48,1,30,81,2,84,0,27,69,67,25,44,22,27,53,75,11,0,88,79,39,32,35,22,50,62,63,9,52,38,71
33,2018-08-26,1,7,84,53,67,0,0,66,1,0,85,0,65,41,68,32,15,96,44,9,40,1,34,71,2,72,0,0,81,59,49,22,14,65,52,83,14,16,65,76,10,39,53,43,25,54,48,9,55,26,54
34,2018-09-02,4,43,84,46,48,39,0,93,1,0,88,0,73,33,52,34,19,97,47,10,40,1,27,60,2,49,0,0,47,63,49,11,14,13,85,76,14,49,68,69,38,41,45,22,50,41,77,11,53,34,46
35,2018-09-09,1,11,81,51,56,0,0,86,4,0,85,0,72,29,54,32,13,81,30,13,36,0,35,61,2,38,0,0,66,62,60,31,0,25,95,73,16,32,66,100,19,34,32,32,24,51,57,11,49,30,37
36,2018-09-16,0,9,69,51,61,38,0,54,2,26,81,0,70,54,55,34,16,76,39,24,45,1,15,65,2,45,0,51,70,57,0,11,7,26,38,76,18,16,65,74,0,46,29,18,48,52,52,10,48,32,47
37,2018-09-23,0,8,60,45,65,0,0,56,1,0,84,0,62,22,55,32,13,100,42,17,46,1,29,84,3,35,0,0,55,57,12,21,7,64,51,76,27,32,63,61,9,47,29,21,72,46,43,10,46,40,37
38,2018-09-30,0,10,61,44,88,0,0,77,2,0,81,0,49,22,54,30,15,78,41,26,48,1,35,65,2,60,0,0,79,68,0,0,10,25,44,76,33,16,63,69,18,52,30,7,0,42,30,14,48,49,37
