,date,The Palisades,Shawarma,Woodley Park,Barney Circle,Chinatown,Bloomingdale's,Chevy Chase,Noma,Stronghold,Congress Heights,Mount Vernon Square,Wesley Heights Elementary School,Garfield Heights,Judiciary Square,Downtown Holiday Market in Penn Quarter,Marietta Square,Edgewood Junior/Senior High School,Carvery,Brightwood Park,WWTV,Park View City Islamabad,Fairfax Village,Truxton Circle,Southwest Waterfront,Vue Cinema London - West End (Leicester Square),Capitol Hill,Petworth,Foggy Bottom,Eckington,Pleasant Hill,Drayton Manor Theme Park,Central Michigan University,Kingman Park,Brookland Infant and Nursery School,Downtown,U Street Northwest,Dupont Circle,Latin American Montessori Bilingual Public Charter School,Cathedral Heights,McLean Gardens,Medium Rare,Marshall Heights,Forest Hills,The Turn of the Key,Kalorama,Trinidad and Tobago,Randle Highlands,Emergency Contact,Wakefield,Columbia Heights,Logan Circle,Navy Yard,John Adams Morgan
0,2018-01-07,22,54,40,0,54,61,16,24,32,32,52,0,67,6,0,23,42,55,0,30,0,0,15,37,49,2,59,38,0,63,19,5,18,38,64,75,13,48,49,38,63,64,0,20,68,7,20,50,70,7,60,5,18
1,2018-01-14,22,58,54,0,58,57,14,27,45,26,44,0,59,11,0,23,56,55,9,15,0,25,15,52,0,2,59,48,0,60,0,5,19,38,70,75,51,49,33,44,16,62,0,6,64,4,12,62,58,6,49,3,18
2,2018-01-21,35,65,68,35,47,56,16,26,33,28,85,0,56,8,0,20,96,54,8,15,0,25,14,32,0,2,45,42,0,60,27,4,0,12,56,73,50,38,16,37,31,66,0,17,65,4,15,58,68,5,54,3,11
3,2018-01-28,18,53,50,0,62,54,24,22,48,14,43,0,61,5,0,23,41,31,0,15,0,74,0,53,48,2,67,41,41,64,28,5,18,49,77,72,12,86,16,100,31,57,0,25,72,0,19,55,57,5,56,1,10
4,2018-02-04,18,52,54,0,55,52,20,18,43,11,59,0,60,5,0,20,14,27,0,44,0,49,14,38,0,2,67,47,14,61,37,4,18,55,73,65,37,66,48,68,0,58,2,10,74,0,8,58,54,7,57,3,16
5,2018-02-11,53,56,66,0,86,55,17,22,100,14,52,0,50,3,0,20,0,39,9,15,25,50,0,40,0,3,39,49,41,58,19,5,0,100,74,68,13,58,16,50,47,63,0,9,87,4,12,52,58,6,69,1,13
6,2018-02-18,40,56,68,69,83,55,39,40,55,17,26,0,56,5,0,15,14,100,0,15,24,25,14,42,0,2,48,43,0,57,9,5,73,74,74,60,12,57,16,93,16,60,0,9,67,0,0,58,56,13,59,1,15
7,2018-02-25,27,64,66,0,69,54,29,100,49,26,51,31,56,3,0,27,0,42,0,44,0,0,72,36,0,3,64,45,27,62,0,100,0,99,78,79,75,57,32,44,16,61,0,18,64,7,16,61,57,7,55,2,13
8,2018-03-04,22,60,67,34,74,53,17,76,55,25,25,31,60,5,0,27,27,61,8,15,0,24,0,39,48,3,57,55,13,60,36,12,18,67,75,79,0,47,16,62,0,63,0,21,60,0,12,78,78,7,56,1,13
9,2018-03-11,35,61,81,0,67,55,17,69,36,17,26,0,53,6,0,23,14,35,0,0,0,50,29,48,0,3,58,100,14,59,37,6,18,50,83,78,100,77,0,44,0,71,0,16,58,14,20,91,69,6,56,2,9
