RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22
274772,0,Northeast Dallas,Neighborhood,TX,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,730586,738506,743749,744376,743089,744254,747212,756059,756018,755407,750106,751991,756392,760781,764000,762917,760149,757917,757536,762321,768042,766206,761606,756125,761471,765667,769713,767801,764931,763475,766944,777333,789636,800486,805677,809630,815253,822332,830838,839991,852044,867188,882672,906810,930819,950322,961287,971200,981179,998804,1015985
112345,1,Maryvale,Neighborhood,AZ,AZ,Phoenix,Phoenix-Mesa-Scottsdale,Maricopa County,185015,186448,187607,188803,190155,191509,193002,194011,195610,196956,197627,198564,199806,201678,202990,203754,204163,204387,205012,206729,208208,209391,209963,211646,213732,215305,217234,219858,222483,225415,229159,233942,238999,244896,251905,258687,265139,269670,276776,281994,290788,298136,306580,314546,318973,323383,326334,331719,336507,343893,348802
192689,2,Paradise,Neighborhood,NV,NV,Las Vegas,Las Vegas-Henderson-Paradise,Clark County,375550,379583,381377,384985,387827,392338,396112,400008,402885,404949,406177,408371,410059,411816,412066,413807,414513,414112,411409,409163,407512,408354,410488,412565,414246,415502,418643,422314,422887,420529,419821,423495,430311,435956,441128,445959,450783,455062,460642,467303,479917,496096,513439,527184,538466,548310,558514,567351,580725,594913,611536
270958,3,Upper West Side,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,7973364,8191489,8484944,8634100,8720290,8901557,9091987,9204219,9207957,9207852,9118922,9073074,8872926,8880839,8902502,9076922,9153347,9145660,9165113,9066889,8833512,8554186,8407590,8500322,8506814,8395041,8127971,8032185,8014581,8147142,8061232,7928823,7805089,7894876,8119791,8246757,8289290,8258824,8343620,8384223,8406783,8263098,8161305,8213928,8215946,8206647,8115910,8094021,8165162,8236005,8408416
118208,4,South Los Angeles,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,572132,580179,588586,596506,602613,607238,610208,611647,612866,616151,619497,623130,626241,626725,626513,628798,633225,636657,634083,633471,636907,644764,650407,654233,658527,664347,670570,675064,673342,672204,676054,686769,698127,707967,714647,718010,719394,723580,731586,741988,757170,772748,790509,799919,808137,810028,812719,815530,819711,827522,838927
270957,5,Upper East Side,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,10359102,10501626,10602302,10534859,10292329,10070059,9964693,9943736,9990924,10030098,10090245,10079624,9907103,9719364,9600063,9561410,9604447,9623138,9708483,9632954,9507107,9161769,8870814,8615070,8574764,8517428,8475025,8492262,8507985,8536556,8432696,8342405,8224643,8263414,8368890,8497852,8347343,8252449,8080973,8147795,8109570,8128325,8159050,8214302,8315853,8399409,8466857,8484219,8500008,8470454,8487345
192820,6,Sunrise Manor,Neighborhood,NV,NV,Las Vegas,Las Vegas-Henderson-Paradise,Clark County,302175,305289,306649,308817,310647,314371,318327,322632,325578,327027,327759,329693,331906,333942,334452,335811,336741,336923,335752,334867,334265,334918,336988,339083,341407,342608,345539,348370,348863,346553,345524,348363,353706,357979,361725,365552,369838,373993,378820,384272,393885,406720,420330,431348,440193,448237,456444,463533,474346,485343,498475
192796,7,Spring Valley,Neighborhood,NV,NV,Las Vegas,Las Vegas-Henderson-Paradise,Clark County,410376,415022,416689,419678,422096,426898,430955,435198,438058,439817,440596,442756,444771,446848,446993,448366,448338,447178,444064,441642,440135,440763,442787,444610,445962,447099,450180,453727,453735,450817,450145,453763,460540,465762,470873,475918,480657,484920,490372,497774,511705,529751,548431,562656,574221,584834,596049,605540,619351,634099,651715
268496,8,Southeast Los Angeles,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,475994,481845,486974,491740,495456,499094,500408,501715,504577,508297,510868,511859,513540,513224,513223,516472,521979,526857,528339,530757,535796,542085,545872,549159,552097,558658,564555,567129,563850,560327,562440,568723,577674,584939,593763,597988,600937,602174,605391,611029,620542,633510,648964,657545,663747,666182,669834,673614,678239,685771,696487
194430,9,East New York,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,626936,634628,641144,644212,644997,646707,651274,655950,658726,662706,666080,670974,672977,675811,680151,683554,688311,686960,688374,681820,678181,672508,673230,677887,682293,686268,686922,690829,694489,697689,702582,707886,721226,732550,757753,772514,791498,797937,807416,812214,810361,810038,812135,820594,829011,832232,833368,831465,832497,835076,841948
