RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22
274772,0,Northeast Dallas,Neighborhood,TX,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,102819,105749,108286,109734,110983,111573,111834,112905,112525,112379,111236,111850,113295,114488,115315,115226,114856,115841,118097,121426,125326,127778,129101,127378,126927,126245,127041,127157,127609,127931,128352,129672,131683,133612,134827,135865,136640,138477,140495,142888,144066,145236,147102,150916,154203,156422,157718,159569,160951,163272,165604
112345,1,Maryvale,Neighborhood,AZ,AZ,Phoenix,Phoenix-Mesa-Scottsdale,Maricopa County,78007,79652,80710,81099,81497,81951,83244,84696,86880,88688,89203,89282,89076,90083,90974,91443,91658,92192,93408,94435,95400,96266,97056,97639,98104,99384,101206,102951,103721,103433,103705,105301,108092,110512,112358,114057,116578,119305,123167,126357,130399,134101,138947,142898,146254,149023,151783,154420,156935,160353,164031
192689,2,Paradise,Neighborhood,NV,NV,Las Vegas,Las Vegas-Henderson-Paradise,Clark County,113013,115364,116833,118682,120320,122885,125296,127937,129762,130888,131346,132295,133245,134292,134770,135736,136471,136708,136261,135704,135382,135562,136205,136922,137373,137565,138232,139268,139354,138192,137406,137960,139530,140710,141753,142945,144219,145521,146994,148518,151350,155338,159799,163731,166951,169940,173114,175999,180309,184792,190338
270958,3,Upper West Side,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,1430552,1450134,1466229,1482064,1470106,1465592,1457011,1463721,1463120,1470868,1471539,1461618,1458743,1439260,1437307,1420824,1418636,1411153,1397165,1372001,1347066,1343739,1362748,1385928,1390565,1375539,1357630,1353532,1349940,1344822,1351736,1355159,1357304,1351542,1361294,1376621,1367142,1363405,1355380,1368751,1367639,1366500,1367489,1379029,1390966,1398029,1398070,1398172,1405868,1418568,1438182
118208,4,South Los Angeles,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,381416,383501,386629,390112,394079,397897,397041,398065,398327,407693,414944,420756,423632,425799,428716,432568,436609,440457,439260,439288,440147,444353,447197,450141,455246,462443,470459,474519,475888,476182,483157,485882,489197,487809,490794,489005,490398,494959,497790,496200,495110,495780,503076,509227,517470,520319,518719,519402,521491,524375,531953
270957,5,Upper East Side,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,1235791,1245731,1254575,1263025,1266122,1263207,1257394,1248102,1246936,1239053,1244127,1244980,1255378,1244969,1243409,1235647,1232585,1222225,1220885,1218477,1219002,1212770,1219293,1227375,1234372,1234815,1220699,1212610,1203786,1211826,1195213,1201357,1200926,1233021,1239455,1249679,1233721,1222079,1210031,1219920,1231726,1244410,1258073,1271706,1282809,1290187,1295530,1298635,1306304,1317154,1331855
192820,6,Sunrise Manor,Neighborhood,NV,NV,Las Vegas,Las Vegas-Henderson-Paradise,Clark County,89996,91815,92675,94322,95897,98588,101161,104106,106633,108257,109188,110329,111883,113165,113907,114844,115654,115831,115182,114632,114246,114369,114792,115326,115819,116065,116635,117612,117815,117068,116637,117507,119578,120897,122319,123786,125525,127032,128680,130491,133851,138356,143157,147149,150343,153641,157011,160062,164461,169072,174846
192796,7,Spring Valley,Neighborhood,NV,NV,Las Vegas,Las Vegas-Henderson-Paradise,Clark County,128565,131355,133499,136339,138840,141930,144726,147524,149464,150747,151501,152843,154030,155232,155526,156365,156626,156588,155638,154819,154115,154121,154636,155306,155852,156195,157023,158110,158047,156307,154958,155199,157124,158445,159542,160769,162410,164080,165745,167484,170995,176209,182121,187097,191083,194639,198336,201835,207027,212847,219971
268496,8,Southeast Los Angeles,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,385700,387672,389143,391891,393520,393152,389900,390823,395157,405569,412646,417665,420849,423104,428125,432189,436376,437745,436198,434305,432176,433559,433877,436558,437913,442611,444577,446992,446429,447963,455213,465837,476102,484188,487258,487844,488202,492494,495590,497749,503877,514463,527959,537094,545137,550009,554886,558788,562108,567839,576251
194430,9,East New York,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,309138,309582,309265,309938,311325,313607,316007,318221,319582,321048,323627,326318,327622,327851,328766,329612,331736,331724,332191,329330,327469,325872,325943,326051,326988,328157,330124,331895,332320,333103,333665,335334,337122,338735,339652,339343,338490,338307,337633,337394,336596,336155,336679,339579,343492,345433,345250,344649,346066,348021,350398
