City,date,housing_price,roomtype
Boston,2018-01,516501.4117647059,1bed
Boston,2018-02,519096.70588235295,1bed
Boston,2018-03,523618.70588235295,1bed
Boston,2018-04,526775.1176470588,1bed
Boston,2018-05,529721.1764705882,1bed
Boston,2018-06,531725.8235294118,1bed
Boston,2018-07,534137.2352941176,1bed
Boston,2018-08,535444.4117647059,1bed
Boston,2018-09,536369.6470588235,1bed
Boston,2018-10,537146.0,1bed
Boston,2018-11,539257.2941176471,1bed
Boston,2018-12,540958.8823529412,1bed
Boston,2019-01,541625.7058823529,1bed
Boston,2019-02,538862.7647058824,1bed
Boston,2019-03,537177.1176470588,1bed
Boston,2019-04,538236.3529411765,1bed
Boston,2019-05,541902.7647058824,1bed
Boston,2019-06,543079.3529411765,1bed
Boston,2019-07,541005.6470588235,1bed
Boston,2019-08,538540.0,1bed
Boston,2019-09,537638.4117647059,1bed
Boston,2019-10,537869.9411764706,1bed
Boston,2019-11,536501.8235294118,1bed
Boston,2019-12,536085.8235294118,1bed
Boston,2020-01,536249.5294117647,1bed
Boston,2020-02,539497.9411764706,1bed
Boston,2020-03,542279.4705882353,1bed
Boston,2020-04,543472.8235294118,1bed
Boston,2020-05,543046.8235294118,1bed
Boston,2020-06,541422.7058823529,1bed
Boston,2020-07,541170.4117647059,1bed
Boston,2020-08,542734.1176470588,1bed
Boston,2020-09,546182.2941176471,1bed
Boston,2020-10,549853.2352941176,1bed
Boston,2020-11,552071.2352941176,1bed
Boston,2020-12,552402.2941176471,1bed
Boston,2021-01,551433.0588235294,1bed
Boston,2021-02,552042.2941176471,1bed
Boston,2021-03,559884.6875,1bed
Boston,2021-04,551942.1764705882,1bed
Boston,2021-05,551261.2352941176,1bed
Boston,2021-06,554074.9411764706,1bed
Boston,2021-07,557464.1764705882,1bed
Boston,2021-08,560225.5882352941,1bed
Boston,2021-09,559449.0588235294,1bed
Boston,2021-10,557898.1176470588,1bed
Boston,2021-11,557927.1176470588,1bed
Boston,2021-12,562808.1176470588,1bed
Boston,2022-01,567811.3529411765,1bed
Boston,2022-02,573689.1764705882,1bed
Boston,2022-03,577369.4705882353,1bed
Chicago,2018-01,201497.96666666667,1bed
Chicago,2018-02,203615.4,1bed
Chicago,2018-03,204336.5,1bed
Chicago,2018-04,203753.43333333332,1bed
Chicago,2018-05,203354.1,1bed
Chicago,2018-06,203170.63333333333,1bed
Chicago,2018-07,203392.26666666666,1bed
Chicago,2018-08,203327.63333333333,1bed
Chicago,2018-09,203915.0,1bed
Chicago,2018-10,204345.66666666666,1bed
Chicago,2018-11,205304.83333333334,1bed
Chicago,2018-12,205943.36666666667,1bed
Chicago,2019-01,205486.0,1bed
Chicago,2019-02,205070.43333333332,1bed
Chicago,2019-03,204534.7,1bed
Chicago,2019-04,204867.2,1bed
Chicago,2019-05,204618.7,1bed
Chicago,2019-06,204303.63333333333,1bed
Chicago,2019-07,204051.23333333334,1bed
Chicago,2019-08,203750.66666666666,1bed
Chicago,2019-09,203575.63333333333,1bed
Chicago,2019-10,203376.0,1bed
Chicago,2019-11,203269.7,1bed
Chicago,2019-12,202938.33333333334,1bed
Chicago,2020-01,202776.9,1bed
Chicago,2020-02,203283.3,1bed
Chicago,2020-03,203578.46666666667,1bed
Chicago,2020-04,203861.23333333334,1bed
Chicago,2020-05,203577.43333333332,1bed
Chicago,2020-06,199784.32258064515,1bed
Chicago,2020-07,200798.0,1bed
Chicago,2020-08,201588.32258064515,1bed
Chicago,2020-09,198072.09677419355,1bed
Chicago,2020-10,202674.0625,1bed
Chicago,2020-11,204568.6875,1bed
Chicago,2020-12,205935.28125,1bed
Chicago,2021-01,206108.46875,1bed
Chicago,2021-02,206233.21875,1bed
Chicago,2021-03,207784.64516129033,1bed
Chicago,2021-04,206372.78125,1bed
Chicago,2021-05,207940.8064516129,1bed
Chicago,2021-06,206938.9375,1bed
Chicago,2021-07,207918.21875,1bed
Chicago,2021-08,208822.84375,1bed
Chicago,2021-09,209437.71875,1bed
Chicago,2021-10,210206.6875,1bed
Chicago,2021-11,211082.6875,1bed
Chicago,2021-12,211793.59375,1bed
Chicago,2022-01,212639.71875,1bed
Chicago,2022-02,213247.25,1bed
Chicago,2022-03,214141.09375,1bed
Detroit,2020-05,36913.0,1bed
Detroit,2020-06,37249.0,1bed
Detroit,2020-07,36893.5,1bed
Detroit,2020-08,37762.5,1bed
Detroit,2020-09,37996.5,1bed
Detroit,2020-10,38942.5,1bed
Detroit,2020-11,40618.5,1bed
Detroit,2020-12,42523.666666666664,1bed
