City,date,rental_price,roomtype
Boston,2018-01,2575.882353,1bed
Boston,2018-02,2604.117647,1bed
Boston,2018-03,2604.705882,1bed
Boston,2018-04,2614.941176,1bed
Boston,2018-05,2636.588235,1bed
Boston,2018-06,2649.529412,1bed
Boston,2018-07,2646.470588,1bed
Boston,2018-08,2631.352941,1bed
Boston,2018-09,2617.235294,1bed
Boston,2018-10,2617.882353,1bed
Boston,2018-11,2607.705882,1bed
Boston,2018-12,2615.470588,1bed
Boston,2019-01,2644.588235,1bed
Boston,2019-02,2651,1bed
Boston,2019-03,2681.529412,1bed
Boston,2019-04,2709.117647,1bed
Boston,2019-05,2728.411765,1bed
Boston,2019-06,2741.411765,1bed
Boston,2019-07,2743.235294,1bed
Boston,2019-08,2751.235294,1bed
Boston,2019-09,2722.823529,1bed
Boston,2019-10,2705.470588,1bed
Boston,2019-11,2704.470588,1bed
Boston,2019-12,2702,1bed
Boston,2020-01,2722.764706,1bed
Boston,2020-02,2762.529412,1bed
Boston,2020-03,2779.176471,1bed
Boston,2020-04,2754.294118,1bed
Boston,2020-05,2742.823529,1bed
Boston,2020-06,2723.823529,1bed
Boston,2020-07,2692.764706,1bed
Boston,2020-08,2616.470588,1bed
Boston,2020-09,2559.294118,1bed
Boston,2020-10,2495.294118,1bed
Boston,2020-11,2462.117647,1bed
Boston,2020-12,2460.529412,1bed
Boston,2021-01,2496,1bed
Boston,2021-02,2526.411765,1bed
Boston,2021-03,2580.5625,1bed
Boston,2021-04,2614.529412,1bed
Boston,2021-05,2658.411765,1bed
Boston,2021-06,2703.117647,1bed
Boston,2021-07,2733.941176,1bed
Boston,2021-08,2765.235294,1bed
Boston,2021-09,2779.058824,1bed
Boston,2021-10,2772.941176,1bed
Boston,2021-11,2810.764706,1bed
Boston,2021-12,2820.117647,1bed
Boston,2022-01,2850.117647,1bed
Boston,2022-02,2854.647059,1bed
Boston,2022-03,2891.058824,1bed
Chicago,2018-01,1586.466667,1bed
Chicago,2018-02,1602.333333,1bed
Chicago,2018-03,1609.733333,1bed
Chicago,2018-04,1618.933333,1bed
Chicago,2018-05,1633.366667,1bed
Chicago,2018-06,1642.7,1bed
Chicago,2018-07,1643.966667,1bed
Chicago,2018-08,1642.766667,1bed
Chicago,2018-09,1635.1,1bed
Chicago,2018-10,1625.7,1bed
Chicago,2018-11,1620.533333,1bed
Chicago,2018-12,1614,1bed
Chicago,2019-01,1621.2,1bed
Chicago,2019-02,1629.333333,1bed
Chicago,2019-03,1644.633333,1bed
Chicago,2019-04,1660.433333,1bed
Chicago,2019-05,1673.866667,1bed
Chicago,2019-06,1687.933333,1bed
Chicago,2019-07,1695.7,1bed
Chicago,2019-08,1698.366667,1bed
Chicago,2019-09,1687,1bed
Chicago,2019-10,1681.266667,1bed
Chicago,2019-11,1667.3,1bed
Chicago,2019-12,1664.766667,1bed
Chicago,2020-01,1671.966667,1bed
Chicago,2020-02,1683.033333,1bed
Chicago,2020-03,1692.7,1bed
Chicago,2020-04,1689.833333,1bed
Chicago,2020-05,1688.3,1bed
Chicago,2020-06,1664.096774,1bed
Chicago,2020-07,1657.774194,1bed
Chicago,2020-08,1642.903226,1bed
Chicago,2020-09,1606.870968,1bed
Chicago,2020-10,1589.75,1bed
Chicago,2020-11,1569.96875,1bed
Chicago,2020-12,1570.78125,1bed
Chicago,2021-01,1577.21875,1bed
Chicago,2021-02,1583.09375,1bed
Chicago,2021-03,1607.580645,1bed
Chicago,2021-04,1629.15625,1bed
Chicago,2021-05,1658.483871,1bed
Chicago,2021-06,1690.5,1bed
